timestamp_iso,elapsed_sec,host_frame_index,device_frame_index,device_millis,value_unit,R1C1,R1C2,R1C3,R1C4,R1C5,R1C6,R1C7,R2C1,R2C2,R2C3,R2C4,R2C5,R2C6,R2C7,R3C1,R3C2,R3C3,R3C4,R3C5,R3C6,R3C7,R4C1,R4C2,R4C3,R4C4,R4C5,R4C6,R4C7,R5C1,R5C2,R5C3,R5C4,R5C5,R5C6,R5C7,R6C1,R6C2,R6C3,R6C4,R6C5,R6C6,R6C7,R7C1,R7C2,R7C3,R7C4,R7C5,R7C6,R7C7
2026-06-01T12:26:53.275,1.219,1,508296,4431205,V,2.536044,2.399048,2.325714,2.315238,2.316044,2.444982,2.590037,2.411941,2.189524,2.178242,2.100879,2.158095,2.204835,2.525568,2.499780,2.292674,2.336996,2.301538,2.328132,2.376483,2.610183,2.499780,2.299927,2.249963,2.150037,2.258828,2.377289,2.592454,2.561026,2.411941,2.386154,2.350696,2.356337,2.422418,2.639194,2.468352,2.344249,2.259634,2.300733,2.281392,2.378901,2.578754,2.486081,2.332967,2.283004,2.292674,2.291868,2.314432,2.470769
2026-06-01T12:26:53.276,1.220,2,508297,4431214,V,2.527179,2.390989,2.329744,2.299927,2.316850,2.424029,2.588425,2.411941,2.185494,2.182271,2.099267,2.158901,2.218535,2.522344,2.525568,2.302344,2.337802,2.294286,2.323297,2.413553,2.613407,2.520733,2.303956,2.242711,2.152454,2.244322,2.381319,2.586007,2.556996,2.416776,2.383736,2.350696,2.356337,2.421612,2.631941,2.468352,2.339414,2.255604,2.299927,2.283809,2.396630,2.580366,2.476410,2.335385,2.287839,2.294286,2.291062,2.318461,2.490110
2026-06-01T12:26:53.276,1.220,3,508298,4431223,V,2.539267,2.402271,2.320073,2.304762,2.315238,2.387766,2.582784,2.404689,2.188718,2.178242,2.093626,2.155678,2.216923,2.527985,2.515091,2.298315,2.336996,2.303956,2.349084,2.417582,2.603736,2.519121,2.303150,2.241905,2.154872,2.240293,2.368425,2.568278,2.560220,2.415165,2.415971,2.349890,2.354725,2.423223,2.631135,2.467546,2.345861,2.287033,2.298315,2.273333,2.355531,2.578754,2.491722,2.325714,2.291062,2.295897,2.287839,2.317656,2.473187
2026-06-01T12:26:53.276,1.220,4,508299,4431232,V,2.534432,2.393407,2.329744,2.308791,2.312015,2.414359,2.586007,2.412747,2.185494,2.174212,2.101685,2.154872,2.215311,2.530403,2.498974,2.295092,2.336996,2.299121,2.332967,2.413553,2.606154,2.490916,2.300733,2.241905,2.154872,2.244322,2.371648,2.557802,2.565861,2.420000,2.385348,2.347472,2.356337,2.421612,2.612601,2.470769,2.345055,2.245128,2.302344,2.279780,2.381319,2.573919,2.504615,2.326520,2.290256,2.296703,2.292674,2.309597,2.473993
2026-06-01T12:26:53.276,1.221,5,508300,4431240,V,2.544908,2.384542,2.324908,2.332161,2.317656,2.416776,2.607765,2.411941,2.183883,2.117802,2.104103,2.153260,2.218535,2.523150,2.540879,2.295092,2.328938,2.295897,2.320073,2.353113,2.606960,2.511062,2.299927,2.245934,2.158095,2.246740,2.384542,2.563443,2.559414,2.432088,2.389377,2.361172,2.349084,2.423223,2.630330,2.475604,2.339414,2.256410,2.293480,2.281392,2.368425,2.576337,2.483663,2.332967,2.292674,2.284615,2.299121,2.321685,2.478022
2026-06-01T12:26:53.276,1.221,6,508301,4431249,V,2.539267,2.390183,2.325714,2.285421,2.314432,2.434505,2.590037,2.414359,2.186300,2.179048,2.101685,2.159707,2.217729,2.520733,2.502198,2.315238,2.338608,2.304762,2.306374,2.412747,2.611795,2.501392,2.291062,2.245128,2.156483,2.254798,2.379707,2.548938,2.559414,2.414359,2.388572,2.357143,2.355531,2.421612,2.630330,2.469157,2.346667,2.253187,2.278974,2.279780,2.378901,2.583590,2.504615,2.328132,2.292674,2.295092,2.278974,2.330549,2.469963
2026-06-01T12:26:53.276,1.221,7,508302,4431258,V,2.543297,2.392601,2.326520,2.312820,2.316044,2.439341,2.559414,2.415165,2.202418,2.187106,2.083956,2.138755,2.218535,2.522344,2.503004,2.294286,2.306374,2.304762,2.324103,2.412747,2.607765,2.511062,2.304762,2.241099,2.153260,2.246740,2.378901,2.569084,2.561026,2.419194,2.386154,2.354725,2.357143,2.386960,2.620659,2.468352,2.346667,2.256410,2.303956,2.286227,2.399048,2.579560,2.477216,2.323297,2.289450,2.307985,2.288645,2.319267,2.473187
2026-06-01T12:26:53.276,1.221,8,508303,4431266,V,2.532015,2.412747,2.331355,2.308791,2.313626,2.414359,2.590037,2.412747,2.184689,2.180659,2.100073,2.152454,2.215311,2.519121,2.506227,2.302344,2.344249,2.307985,2.328132,2.378901,2.611795,2.509450,2.301538,2.241905,2.151648,2.245128,2.372454,2.565861,2.557802,2.412747,2.386154,2.342637,2.357949,2.419194,2.632747,2.472381,2.342637,2.253993,2.295897,2.272527,2.383736,2.579560,2.485275,2.357143,2.288645,2.299121,2.300733,2.317656,2.476410
2026-06-01T12:26:53.276,1.221,9,508304,4431275,V,2.530403,2.400659,2.336190,2.318461,2.312015,2.422418,2.589231,2.411941,2.191135,2.180659,2.094432,2.153260,2.216117,2.524762,2.502198,2.293480,2.338608,2.301538,2.326520,2.411135,2.615018,2.498974,2.302344,2.235458,2.148425,2.247546,2.378901,2.563443,2.568278,2.415165,2.388572,2.343443,2.366007,2.432088,2.635165,2.461099,2.350696,2.270916,2.299927,2.284615,2.383736,2.579560,2.482051,2.328938,2.291062,2.349084,2.291062,2.316850,2.470769
2026-06-01T12:26:53.276,1.221,10,508305,4431284,V,2.537656,2.397436,2.318461,2.304762,2.313626,2.409524,2.583590,2.413553,2.200806,2.183077,2.102491,2.163736,2.212894,2.525568,2.497363,2.298315,2.338608,2.306374,2.328132,2.411941,2.610183,2.507033,2.302344,2.242711,2.152454,2.246740,2.370037,2.563443,2.556996,2.406300,2.388572,2.341026,2.348278,2.424029,2.634359,2.466740,2.345055,2.253993,2.286227,2.284615,2.378901,2.579560,2.487692,2.349084,2.291868,2.295092,2.295092,2.275751,2.474798
2026-06-01T12:26:53.276,1.221,11,508306,4431293,V,2.539267,2.398242,2.336996,2.307985,2.313626,2.420000,2.563443,2.415971,2.191135,2.181465,2.100073,2.157289,2.223370,2.523150,2.507839,2.296703,2.344249,2.306374,2.328938,2.412747,2.609377,2.503004,2.286227,2.229011,2.153260,2.242711,2.382930,2.565861,2.561831,2.416776,2.386960,2.349084,2.356337,2.424029,2.635165,2.477216,2.360366,2.253993,2.286227,2.282198,2.390183,2.577949,2.486887,2.328132,2.295092,2.299121,2.290256,2.324103,2.470769
2026-06-01T12:26:53.276,1.221,12,508307,4431301,V,2.523150,2.398242,2.325714,2.320073,2.314432,2.402271,2.589231,2.413553,2.156483,2.185494,2.088791,2.156483,2.217729,2.519927,2.502198,2.298315,2.340220,2.299927,2.325714,2.413553,2.606154,2.524762,2.291062,2.243516,2.144396,2.241905,2.375678,2.559414,2.556996,2.411135,2.379707,2.345861,2.353113,2.422418,2.631135,2.464322,2.341831,2.239487,2.295092,2.283809,2.357949,2.584396,2.469963,2.332161,2.288645,2.294286,2.292674,2.296703,2.469963
2026-06-01T12:26:53.276,1.221,13,508308,4431310,V,2.536850,2.400659,2.314432,2.257216,2.314432,2.414359,2.586007,2.421612,2.186300,2.191135,2.088791,2.151648,2.206447,2.526374,2.510256,2.298315,2.320879,2.300733,2.328132,2.416776,2.610989,2.482857,2.299121,2.243516,2.150842,2.254798,2.378095,2.544908,2.558608,2.413553,2.390183,2.353113,2.349890,2.424835,2.637582,2.440952,2.342637,2.240293,2.297509,2.286227,2.382930,2.552161,2.472381,2.331355,2.285421,2.296703,2.288645,2.319267,2.465934
2026-06-01T12:26:53.276,1.221,14,508309,4431319,V,2.538461,2.394212,2.328938,2.320073,2.314432,2.416776,2.589231,2.414359,2.186300,2.179048,2.103297,2.144396,2.222564,2.526374,2.506227,2.298315,2.335385,2.302344,2.318461,2.413553,2.606960,2.541685,2.303150,2.258828,2.154066,2.239487,2.377289,2.565055,2.559414,2.432894,2.385348,2.345055,2.357143,2.447399,2.634359,2.503004,2.339414,2.255604,2.300733,2.283809,2.371648,2.580366,2.492527,2.328132,2.287839,2.296703,2.289450,2.320073,2.478828
2026-06-01T12:26:53.276,1.221,15,508310,4431327,V,2.538461,2.399048,2.325714,2.304762,2.319267,2.415165,2.590037,2.413553,2.189524,2.182271,2.105714,2.151648,2.224176,2.526374,2.506227,2.296703,2.338608,2.304762,2.324103,2.415165,2.614213,2.511868,2.307985,2.241905,2.157289,2.246740,2.400659,2.567472,2.564249,2.416776,2.376483,2.362784,2.357949,2.422418,2.623883,2.483663,2.357949,2.229817,2.301538,2.282198,2.392601,2.575531,2.457875,2.320073,2.298315,2.305568,2.289450,2.316850,2.471575
2026-06-01T12:26:53.276,1.221,16,508311,4431336,V,2.546520,2.378095,2.328938,2.306374,2.314432,2.415971,2.588425,2.414359,2.189524,2.183883,2.100879,2.161319,2.216923,2.537656,2.508645,2.315238,2.339414,2.307179,2.323297,2.412747,2.608571,2.513480,2.307179,2.246740,2.154872,2.249157,2.374872,2.556996,2.556190,2.404689,2.386960,2.353919,2.348278,2.417582,2.637582,2.448205,2.345055,2.256410,2.272527,2.283809,2.316044,2.582784,2.483663,2.302344,2.292674,2.297509,2.289450,2.325714,2.469963
2026-06-01T12:26:53.277,1.221,17,508312,4431345,V,2.539267,2.424835,2.324908,2.305568,2.316044,2.416776,2.589231,2.414359,2.185494,2.183883,2.097656,2.157289,2.219341,2.527179,2.501392,2.329744,2.361978,2.297509,2.325714,2.420806,2.628718,2.511868,2.298315,2.244322,2.153260,2.246740,2.381319,2.565055,2.556996,2.416776,2.377289,2.349890,2.371648,2.423223,2.648059,2.471575,2.343443,2.253993,2.298315,2.266886,2.381319,2.581172,2.490110,2.329744,2.292674,2.296703,2.290256,2.322491,2.470769
2026-06-01T12:26:53.277,1.221,18,508313,4431354,V,2.543297,2.400659,2.332967,2.309597,2.316850,2.426447,2.594872,2.414359,2.177436,2.184689,2.104103,2.158095,2.219341,2.534432,2.503809,2.297509,2.341831,2.303956,2.325714,2.411941,2.606960,2.513480,2.303150,2.247546,2.152454,2.245934,2.376483,2.569084,2.549744,2.440952,2.363590,2.349084,2.359560,2.415971,2.633553,2.494139,2.349084,2.253187,2.294286,2.282198,2.385348,2.574725,2.486887,2.323297,2.301538,2.295092,2.286227,2.335385,2.474798
2026-06-01T12:26:53.277,1.221,19,508314,4431362,V,2.538461,2.399853,2.327326,2.307179,2.316044,2.417582,2.588425,2.413553,2.186300,2.195971,2.100879,2.159707,2.217729,2.523956,2.515091,2.308791,2.338608,2.301538,2.324908,2.398242,2.620659,2.539267,2.298315,2.245934,2.154872,2.245934,2.385348,2.559414,2.560220,2.415165,2.383736,2.349890,2.357949,2.426447,2.631135,2.478022,2.345055,2.287033,2.294286,2.286227,2.383736,2.581172,2.490110,2.332161,2.291062,2.330549,2.291868,2.317656,2.477216
2026-06-01T12:26:53.277,1.221,20,508315,4431371,V,2.537656,2.400659,2.338608,2.311209,2.316850,2.420806,2.591648,2.416776,2.184689,2.179853,2.100879,2.168571,2.219341,2.530403,2.501392,2.299121,2.341831,2.302344,2.324908,2.412747,2.611795,2.500586,2.294286,2.245934,2.152454,2.247546,2.375678,2.565055,2.558608,2.429670,2.384542,2.350696,2.371648,2.423223,2.623883,2.473187,2.350696,2.255604,2.293480,2.283004,2.384542,2.589231,2.464322,2.324908,2.293480,2.310403,2.292674,2.319267,2.490110
2026-06-01T12:26:53.277,1.221,21,508316,4431380,V,2.539267,2.410330,2.331355,2.299121,2.316044,2.402271,2.564249,2.415971,2.187106,2.186300,2.100073,2.158095,2.216117,2.526374,2.507033,2.299927,2.335385,2.301538,2.325714,2.415971,2.608571,2.511868,2.302344,2.245128,2.150037,2.253187,2.402271,2.563443,2.562637,2.413553,2.392601,2.346667,2.356337,2.424029,2.637582,2.468352,2.402271,2.253993,2.298315,2.272527,2.381319,2.571502,2.486887,2.316044,2.293480,2.299121,2.291062,2.318461,2.470769
2026-06-01T12:26:53.277,1.222,22,508317,4431388,V,2.566667,2.398242,2.325714,2.287033,2.314432,2.415165,2.588425,2.414359,2.188718,2.191135,2.106520,2.150037,2.202418,2.522344,2.507839,2.300733,2.338608,2.304762,2.328132,2.411941,2.602930,2.519121,2.297509,2.241905,2.151648,2.247546,2.378095,2.564249,2.567472,2.415971,2.388572,2.351502,2.357143,2.418388,2.632747,2.491722,2.319267,2.253187,2.299121,2.283809,2.387766,2.581172,2.481245,2.326520,2.291868,2.296703,2.295092,2.306374,2.465934
