timestamp_iso,elapsed_sec,host_frame_index,device_frame_index,device_millis,value_unit,R1C1,R1C2,R1C3,R1C4,R1C5,R1C6,R1C7,R2C1,R2C2,R2C3,R2C4,R2C5,R2C6,R2C7,R3C1,R3C2,R3C3,R3C4,R3C5,R3C6,R3C7,R4C1,R4C2,R4C3,R4C4,R4C5,R4C6,R4C7,R5C1,R5C2,R5C3,R5C4,R5C5,R5C6,R5C7,R6C1,R6C2,R6C3,R6C4,R6C5,R6C6,R6C7,R7C1,R7C2,R7C3,R7C4,R7C5,R7C6,R7C7
2026-06-01T11:53:06.763,1.234,1,275792,2404755,V,2.493333,2.516703,2.462711,2.521538,2.461099,2.444982,2.487692,2.484469,2.480439,2.467546,2.520733,2.462711,2.436923,2.535238,2.086374,2.261245,2.270916,2.297509,2.332967,2.273333,2.385348,2.335385,2.391795,2.349084,2.285421,2.329744,2.329744,2.423223,2.030769,2.191135,2.238681,2.279780,2.270110,2.214505,2.238681,2.212894,2.259634,2.253187,2.286227,2.184689,2.202418,2.292674,2.151648,2.204835,2.165348,2.269304,2.258022,2.169377,2.280586
2026-06-01T11:53:06.763,1.234,2,275793,2404763,V,2.482857,2.512674,2.459487,2.569890,2.461099,2.444176,2.486081,2.461905,2.482051,2.464322,2.510256,2.450623,2.438535,2.515091,2.079121,2.258828,2.267692,2.295897,2.323297,2.287839,2.393407,2.323297,2.392601,2.356337,2.306374,2.324103,2.326520,2.428059,2.017070,2.187106,2.237070,2.282198,2.261245,2.211282,2.240293,2.212894,2.266886,2.245934,2.283809,2.191135,2.202418,2.292674,2.134725,2.195971,2.171795,2.268498,2.245128,2.154066,2.273333
2026-06-01T11:53:06.764,1.235,3,275794,2404772,V,2.490916,2.524762,2.465128,2.525568,2.461099,2.444176,2.482051,2.478022,2.483663,2.465128,2.508645,2.426447,2.436923,2.516703,2.087985,2.265275,2.268498,2.291868,2.324908,2.271722,2.360366,2.321685,2.391795,2.349084,2.286227,2.322491,2.322491,2.424029,2.034798,2.175018,2.237875,2.280586,2.263663,2.213700,2.241099,2.241099,2.258828,2.247546,2.283004,2.185494,2.204029,2.294286,2.144396,2.202418,2.168571,2.268498,2.256410,2.163736,2.283004
2026-06-01T11:53:06.764,1.235,4,275795,2404781,V,2.486887,2.515091,2.469963,2.540073,2.460293,2.447399,2.487692,2.478022,2.478828,2.464322,2.494945,2.462711,2.439341,2.506227,2.074286,2.262857,2.270916,2.299121,2.249963,2.270110,2.370037,2.321685,2.390183,2.346667,2.283809,2.324908,2.357143,2.422418,2.024322,2.185494,2.243516,2.280586,2.247546,2.216923,2.241905,2.204835,2.263663,2.234652,2.283809,2.183077,2.210476,2.295897,2.161319,2.204835,2.170183,2.268498,2.258022,2.170183,2.280586
2026-06-01T11:53:06.764,1.235,5,275796,2404789,V,2.478022,2.518315,2.461905,2.552967,2.462711,2.441758,2.481245,2.483663,2.463516,2.465934,2.507839,2.461905,2.438535,2.503809,2.084762,2.261245,2.266886,2.295092,2.321685,2.270110,2.382930,2.336190,2.386960,2.347472,2.285421,2.323297,2.324103,2.460293,2.029963,2.187106,2.258022,2.276557,2.261245,2.214505,2.241099,2.213700,2.260440,2.255604,2.284615,2.182271,2.201612,2.288645,2.152454,2.203223,2.158901,2.268498,2.256410,2.165348,2.272527
2026-06-01T11:53:06.764,1.235,6,275797,2404798,V,2.486887,2.514286,2.466740,2.540073,2.461099,2.446593,2.482051,2.477216,2.478022,2.463516,2.509450,2.464322,2.441758,2.515091,2.083956,2.258022,2.266081,2.295092,2.324103,2.270916,2.386960,2.320879,2.432088,2.348278,2.283004,2.322491,2.337802,2.423223,2.027546,2.185494,2.234652,2.280586,2.258828,2.222564,2.238681,2.216117,2.257216,2.216923,2.308791,2.183077,2.203223,2.287839,2.152454,2.174212,2.170183,2.269304,2.254798,2.157289,2.287839
2026-06-01T11:53:06.764,1.235,7,275798,2404807,V,2.488498,2.522344,2.462711,2.536044,2.485275,2.442564,2.482857,2.477216,2.484469,2.464322,2.511868,2.470769,2.438535,2.515898,2.084762,2.257216,2.256410,2.291868,2.331355,2.274139,2.383736,2.320879,2.387766,2.346667,2.285421,2.320879,2.326520,2.424835,2.032381,2.167766,2.235458,2.278974,2.262051,2.215311,2.237875,2.220146,2.258022,2.247546,2.283004,2.184689,2.204029,2.286227,2.160513,2.192747,2.170183,2.263663,2.253993,2.162930,2.280586
2026-06-01T11:53:06.764,1.235,8,275799,2404816,V,2.488498,2.516703,2.458681,2.535238,2.460293,2.446593,2.489304,2.477216,2.493333,2.465128,2.509450,2.465128,2.440952,2.515898,2.087985,2.244322,2.270110,2.293480,2.364396,2.271722,2.382930,2.324103,2.390989,2.349084,2.287839,2.322491,2.328132,2.420806,2.033187,2.187912,2.236264,2.276557,2.258022,2.212894,2.239487,2.211282,2.259634,2.246740,2.283004,2.183883,2.204835,2.294286,2.150842,2.207253,2.170183,2.270110,2.255604,2.200806,2.279780
2026-06-01T11:53:06.764,1.235,9,275800,2404824,V,2.488498,2.515898,2.416776,2.538461,2.462711,2.440952,2.484469,2.486081,2.482051,2.436923,2.511062,2.461099,2.438535,2.512674,2.091209,2.258828,2.267692,2.295092,2.324908,2.270110,2.384542,2.317656,2.388572,2.350696,2.283809,2.326520,2.351502,2.421612,2.017875,2.186300,2.237875,2.276557,2.260440,2.213700,2.237070,2.180659,2.258022,2.249963,2.279780,2.183883,2.203223,2.266081,2.183883,2.204029,2.166154,2.256410,2.255604,2.166960,2.280586
2026-06-01T11:53:06.764,1.235,10,275801,2404833,V,2.478022,2.493333,2.461905,2.535238,2.461099,2.437729,2.482051,2.479634,2.481245,2.464322,2.481245,2.464322,2.434505,2.516703,2.087179,2.270916,2.274139,2.291062,2.271722,2.271722,2.378901,2.318461,2.390989,2.346667,2.283004,2.324908,2.328938,2.421612,2.026740,2.177436,2.238681,2.279780,2.262051,2.213700,2.236264,2.208864,2.260440,2.262857,2.286227,2.184689,2.202418,2.292674,2.154872,2.203223,2.169377,2.260440,2.252381,2.159707,2.279780
2026-06-01T11:53:06.764,1.235,11,275802,2404842,V,2.478022,2.528791,2.440952,2.527985,2.461905,2.444176,2.481245,2.477216,2.478022,2.465934,2.510256,2.437729,2.437729,2.515091,2.079927,2.262051,2.266886,2.295897,2.328132,2.270110,2.382124,2.323297,2.391795,2.348278,2.285421,2.324908,2.344249,2.424029,2.025128,2.185494,2.239487,2.278974,2.278974,2.216923,2.239487,2.207253,2.245934,2.247546,2.287033,2.185494,2.196777,2.296703,2.166960,2.230623,2.170183,2.269304,2.258022,2.158901,2.277363
2026-06-01T11:53:06.764,1.235,12,275803,2404851,V,2.486887,2.529597,2.461099,2.538461,2.462711,2.445787,2.486081,2.474798,2.478828,2.465934,2.511868,2.461099,2.438535,2.510256,2.083956,2.253993,2.276557,2.294286,2.324103,2.270916,2.370842,2.315238,2.393407,2.346667,2.282198,2.326520,2.328938,2.419194,2.031575,2.185494,2.237875,2.277363,2.261245,2.210476,2.237070,2.216923,2.259634,2.249963,2.297509,2.189524,2.204029,2.283004,2.153260,2.204029,2.170183,2.270916,2.243516,2.163736,2.279780
2026-06-01T11:53:06.764,1.235,13,275804,2404859,V,2.493333,2.515898,2.465128,2.533626,2.461905,2.444982,2.485275,2.486887,2.480439,2.467546,2.511868,2.457070,2.438535,2.516703,2.071868,2.254798,2.274945,2.292674,2.308791,2.269304,2.385348,2.322491,2.382124,2.349890,2.283004,2.321685,2.332967,2.424835,2.035604,2.191135,2.237070,2.277363,2.262051,2.214505,2.241099,2.209670,2.273333,2.249963,2.286227,2.213700,2.198388,2.295897,2.174212,2.203223,2.171795,2.269304,2.253993,2.165348,2.265275
2026-06-01T11:53:06.764,1.235,14,275805,2404868,V,2.469963,2.515091,2.521538,2.540073,2.463516,2.449011,2.486887,2.480439,2.483663,2.465128,2.512674,2.462711,2.458681,2.514286,2.086374,2.250769,2.269304,2.291062,2.324908,2.271722,2.368425,2.324103,2.390183,2.355531,2.283004,2.323297,2.322491,2.420806,2.029157,2.187106,2.241099,2.278168,2.261245,2.210476,2.238681,2.208864,2.262051,2.251575,2.284615,2.191135,2.207253,2.293480,2.148425,2.202418,2.172601,2.270916,2.253993,2.162124,2.306374
2026-06-01T11:53:06.764,1.235,15,275806,2404877,V,2.482051,2.516703,2.461905,2.537656,2.461905,2.447399,2.484469,2.481245,2.477216,2.465128,2.507839,2.461905,2.439341,2.509450,2.066227,2.246740,2.270916,2.291868,2.320073,2.233846,2.381319,2.321685,2.390989,2.349084,2.283004,2.322491,2.326520,2.448205,2.028352,2.183883,2.220952,2.279780,2.262857,2.210476,2.240293,2.212894,2.237070,2.245934,2.268498,2.187106,2.204835,2.305568,2.151648,2.203223,2.167766,2.278168,2.255604,2.168571,2.281392
2026-06-01T11:53:06.764,1.235,16,275807,2404885,V,2.482051,2.518315,2.461905,2.539267,2.461905,2.446593,2.490916,2.474798,2.478022,2.465934,2.508645,2.464322,2.438535,2.518315,2.093626,2.261245,2.270110,2.314432,2.337802,2.269304,2.368425,2.295092,2.387766,2.351502,2.282198,2.324103,2.322491,2.419194,2.027546,2.185494,2.238681,2.278974,2.260440,2.211282,2.239487,2.215311,2.263663,2.228205,2.283809,2.184689,2.215311,2.288645,2.149231,2.204835,2.169377,2.270916,2.257216,2.162930,2.270110
2026-06-01T11:53:06.765,1.235,17,275808,2404894,V,2.489304,2.503004,2.464322,2.539267,2.460293,2.448205,2.486887,2.478022,2.473187,2.465934,2.511868,2.463516,2.428059,2.515898,2.087179,2.280586,2.267692,2.299121,2.330549,2.266886,2.347472,2.320879,2.385348,2.348278,2.272527,2.320879,2.325714,2.411135,2.037216,2.186300,2.236264,2.279780,2.262857,2.239487,2.241905,2.216923,2.260440,2.248352,2.284615,2.188718,2.201612,2.287839,2.152454,2.199194,2.129890,2.267692,2.253993,2.161319,2.282198
2026-06-01T11:53:06.765,1.235,18,275809,2404903,V,2.483663,2.519927,2.464322,2.544908,2.461905,2.444176,2.487692,2.477216,2.485275,2.466740,2.511062,2.458681,2.436923,2.515091,2.085568,2.262051,2.269304,2.295897,2.321685,2.270110,2.350696,2.320879,2.392601,2.328938,2.282198,2.324908,2.322491,2.424029,2.025128,2.186300,2.237070,2.280586,2.259634,2.212894,2.242711,2.208864,2.261245,2.252381,2.283004,2.168571,2.204029,2.291062,2.151648,2.204029,2.167766,2.269304,2.257216,2.163736,2.257216
2026-06-01T11:53:06.765,1.236,19,275810,2404912,V,2.487692,2.519121,2.462711,2.540073,2.462711,2.447399,2.482051,2.478022,2.482857,2.467546,2.511062,2.461905,2.441758,2.516703,2.087179,2.264469,2.255604,2.296703,2.332161,2.245128,2.380513,2.324103,2.403077,2.348278,2.284615,2.322491,2.326520,2.424835,2.027546,2.185494,2.253993,2.277363,2.261245,2.212088,2.269304,2.209670,2.256410,2.245934,2.285421,2.183077,2.201612,2.295897,2.151648,2.201612,2.207253,2.267692,2.256410,2.162124,2.282198
2026-06-01T11:53:06.765,1.236,20,275811,2404920,V,2.509450,2.517509,2.462711,2.560220,2.462711,2.445787,2.485275,2.478022,2.483663,2.467546,2.511062,2.465128,2.438535,2.515898,2.084762,2.253993,2.270916,2.295897,2.322491,2.270110,2.384542,2.321685,2.394212,2.349084,2.283809,2.302344,2.327326,2.423223,2.027546,2.184689,2.235458,2.280586,2.268498,2.216923,2.189524,2.208864,2.260440,2.251575,2.282198,2.187912,2.195165,2.291868,2.152454,2.204029,2.167766,2.275751,2.246740,2.162930,2.281392
2026-06-01T11:53:06.765,1.236,21,275812,2404929,V,2.486081,2.491722,2.461905,2.536044,2.462711,2.447399,2.480439,2.526374,2.489304,2.466740,2.488498,2.459487,2.432894,2.511062,2.083956,2.259634,2.269304,2.299927,2.326520,2.270916,2.384542,2.320879,2.388572,2.345861,2.282198,2.321685,2.324908,2.429670,2.027546,2.185494,2.238681,2.278974,2.261245,2.212894,2.238681,2.205641,2.244322,2.247546,2.283004,2.187912,2.220952,2.300733,2.151648,2.202418,2.199194,2.267692,2.270110,2.162124,2.265275
2026-06-01T11:53:06.765,1.236,22,275813,2404938,V,2.487692,2.539267,2.461905,2.539267,2.462711,2.447399,2.475604,2.477216,2.484469,2.465128,2.508645,2.461099,2.505421,2.518315,2.087985,2.255604,2.270110,2.294286,2.322491,2.270916,2.383736,2.319267,2.389377,2.349890,2.283004,2.327326,2.320073,2.423223,2.027546,2.183077,2.236264,2.279780,2.260440,2.218535,2.241099,2.211282,2.258828,2.245934,2.284615,2.186300,2.204835,2.299927,2.152454,2.204029,2.172601,2.253993,2.267692,2.162124,2.279780
2026-06-01T11:53:06.765,1.236,23,275814,2404946,V,2.490110,2.516703,2.462711,2.536850,2.461905,2.445787,2.487692,2.474798,2.465128,2.462711,2.510256,2.465128,2.437729,2.517509,2.077509,2.258022,2.264469,2.320879,2.320073,2.269304,2.382124,2.315238,2.390989,2.364396,2.283004,2.322491,2.357143,2.415971,2.018681,2.186300,2.231429,2.279780,2.267692,2.209670,2.240293,2.210476,2.261245,2.249157,2.288645,2.189524,2.200806,2.296703,2.152454,2.204835,2.189524,2.263663,2.255604,2.162124,2.307179
2026-06-01T11:53:06.765,1.236,24,275815,2404955,V,2.487692,2.497363,2.462711,2.537656,2.463516,2.447399,2.498168,2.473993,2.494139,2.453040,2.506227,2.462711,2.464322,2.519927,2.086374,2.234652,2.273333,2.299121,2.322491,2.270110,2.385348,2.320073,2.399048,2.347472,2.284615,2.324908,2.320073,2.423223,1.988059,2.184689,2.237875,2.277363,2.266886,2.196777,2.237875,2.208059,2.274945,2.246740,2.331355,2.183883,2.204835,2.300733,2.154066,2.195971,2.170183,2.253993,2.256410,2.117802,2.283809
2026-06-01T11:53:06.765,1.236,25,275816,2404964,V,2.513480,2.519121,2.461099,2.523150,2.462711,2.444982,2.486887,2.477216,2.487692,2.463516,2.506227,2.461905,2.436117,2.516703,2.084762,2.262857,2.270110,2.336996,2.325714,2.272527,2.383736,2.321685,2.391795,2.352308,2.282198,2.318461,2.352308,2.420806,2.032381,2.182271,2.234652,2.275751,2.260440,2.210476,2.237070,2.236264,2.270916,2.248352,2.283004,2.184689,2.202418,2.296703,2.149231,2.207253,2.170183,2.270916,2.257216,2.150842,2.297509
2026-06-01T11:53:06.765,1.236,26,275817,2404972,V,2.488498,2.484469,2.463516,2.548132,2.462711,2.435311,2.486887,2.477216,2.470769,2.466740,2.513480,2.462711,2.438535,2.514286,2.087179,2.255604,2.269304,2.292674,2.304762,2.260440,2.377289,2.322491,2.388572,2.345861,2.283809,2.320879,2.324908,2.424835,2.028352,2.185494,2.232234,2.278168,2.252381,2.204029,2.238681,2.208864,2.254798,2.219341,2.287839,2.187912,2.190330,2.295092,2.153260,2.204029,2.167766,2.265275,2.255604,2.149231,2.283809
2026-06-01T11:53:06.765,1.236,27,275818,2404981,V,2.493333,2.517509,2.464322,2.515898,2.464322,2.446593,2.487692,2.492527,2.485275,2.465934,2.509450,2.463516,2.437729,2.515091,2.086374,2.261245,2.269304,2.292674,2.322491,2.277363,2.385348,2.320879,2.388572,2.345861,2.283004,2.324103,2.324908,2.421612,2.029963,2.185494,2.238681,2.262051,2.262051,2.197582,2.241099,2.199194,2.258828,2.235458,2.292674,2.186300,2.196777,2.279780,2.160513,2.202418,2.167766,2.267692,2.249963,2.165348,2.277363
